ano_agricola,safra,uf,produto,id_produto,id_levantamento,dsc_levantamento,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t
2024/25             ,UNICA          ,PI,GERGELIM                                ,7084,4,4º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PI,GERGELIM                                ,7084,5,5º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PI,GERGELIM                                ,7084,6,6º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PI,GERGELIM                                ,7084,7,7º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PI,GERGELIM                                ,7084,8,8º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PI,GERGELIM                                ,7084,9,9º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PR,GERGELIM                                ,7084,10,10º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,PR,GERGELIM                                ,7084,11,11º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,PR,GERGELIM                                ,7084,12,12º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,PR,GERGELIM                                ,7084,1,1º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PR,GERGELIM                                ,7084,2,2º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PR,GERGELIM                                ,7084,3,3º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PR,GERGELIM                                ,7084,4,4º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PR,GERGELIM                                ,7084,5,5º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PR,GERGELIM                                ,7084,6,6º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PR,GERGELIM                                ,7084,7,7º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PR,GERGELIM                                ,7084,8,8º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,PR,GERGELIM                                ,7084,9,9º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RJ,GERGELIM                                ,7084,10,10º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RJ,GERGELIM                                ,7084,11,11º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RJ,GERGELIM                                ,7084,12,12º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RJ,GERGELIM                                ,7084,1,1º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RJ,GERGELIM                                ,7084,2,2º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RJ,GERGELIM                                ,7084,3,3º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RJ,GERGELIM                                ,7084,4,4º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RJ,GERGELIM                                ,7084,5,5º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RJ,GERGELIM                                ,7084,6,6º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RJ,GERGELIM                                ,7084,7,7º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RJ,GERGELIM                                ,7084,8,8º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RJ,GERGELIM                                ,7084,9,9º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RN,GERGELIM                                ,7084,10,10º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RN,GERGELIM                                ,7084,11,11º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RN,GERGELIM                                ,7084,12,12º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RN,GERGELIM                                ,7084,1,1º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RN,GERGELIM                                ,7084,2,2º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RN,GERGELIM                                ,7084,3,3º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RN,GERGELIM                                ,7084,4,4º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RN,GERGELIM                                ,7084,5,5º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RN,GERGELIM                                ,7084,6,6º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RN,GERGELIM                                ,7084,7,7º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RN,GERGELIM                                ,7084,8,8º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RN,GERGELIM                                ,7084,9,9º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RO,GERGELIM                                ,7084,10,10º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RO,GERGELIM                                ,7084,11,11º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RO,GERGELIM                                ,7084,12,12º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RO,GERGELIM                                ,7084,1,1º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RO,GERGELIM                                ,7084,2,2º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RO,GERGELIM                                ,7084,3,3º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RO,GERGELIM                                ,7084,4,4º LEV              ,0.0,0.0,0.0
